service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
245070_116573,1,1,1,1,1,1,1,20240330,20240608
245070_116574,1,1,1,1,1,1,1,20240609,20241214
245070_116576,1,1,1,1,1,1,1,20240330,20240608
245070_116577,1,1,1,1,1,1,1,20240609,20241214
245070_116579,1,1,1,1,1,0,0,20240330,20240607
245070_116580,1,1,1,1,1,0,0,20240610,20241213
245070_116582,0,0,0,0,0,1,1,20240330,20240608
245070_116583,0,0,0,0,0,1,1,20240609,20241214
245070_116586,1,1,1,1,1,1,1,20240330,20241214
245070_116588,1,1,1,1,1,0,0,20240330,20240607
245070_116589,1,1,1,1,1,0,0,20240610,20241213
245070_116591,0,0,0,0,0,1,1,20240330,20240421
245070_116592,0,0,0,0,0,1,1,20240427,20240602
245070_116593,0,0,0,0,0,1,1,20240608,20241214
245070_116605,1,1,1,1,1,1,1,20240609,20241214
245070_116617,0,0,0,0,0,1,1,20240330,20241214
245070_116619,1,1,1,1,1,0,0,20240330,20241213
245070_116641,1,1,1,1,1,1,1,20240330,20240608
245070_116644,1,1,1,1,1,1,1,20240330,20240608
245070_116645,1,1,1,1,1,1,1,20240609,20241214
245070_116647,0,0,0,0,0,1,1,20240330,20241214
245070_116649,1,1,1,1,1,0,0,20240330,20240607
245070_116650,1,1,1,1,1,0,0,20240610,20241213
245070_117793,1,1,1,1,1,1,1,20240330,20240422
245070_117794,1,1,1,1,1,1,1,20240423,20240604
245070_117795,1,1,1,1,1,1,1,20240605,20240608
245070_117796,1,1,1,1,1,1,1,20240609,20241214
245070_117797,1,1,1,1,1,1,1,20240330,20241214
245070_117799,1,1,1,1,1,1,1,20240330,20241214
245070_117801,1,1,1,1,1,1,1,20240330,20240608
245070_117802,1,1,1,1,1,1,1,20240609,20241214
245070_117803,1,1,1,1,1,1,1,20240330,20241214
245070_117804,0,0,0,0,0,1,1,20240427,20240602
245070_117806,1,1,1,1,1,1,1,20240330,20240608
245070_117807,1,1,1,1,1,1,1,20240609,20241214
245071_115619,1,1,1,1,1,1,1,20240330,20241214
245071_115638,1,1,1,1,1,0,0,20240330,20240607
245071_115639,1,1,1,1,1,0,0,20240610,20241213
245071_115642,1,1,1,1,1,0,0,20240330,20240607
245071_115643,1,1,1,1,1,0,0,20240610,20241213
245071_115647,1,1,1,1,1,1,1,20240330,20240608
245071_115648,1,1,1,1,1,1,1,20240609,20241214
245071_115651,1,1,1,1,1,1,1,20240330,20240608
245071_115653,1,1,1,1,1,1,1,20240609,20241214
245071_115656,1,1,1,1,1,1,1,20240330,20240608
245071_115657,1,1,1,1,1,1,1,20240609,20241214
245071_115661,1,1,1,1,1,1,1,20240330,20240608
245071_115662,1,1,1,1,1,1,1,20240609,20241214
245071_115666,1,1,1,1,1,1,1,20240330,20240608
245071_115667,1,1,1,1,1,1,1,20240609,20241214
245071_115668,0,0,0,0,0,0,1,20240330,20241208
245071_115672,1,1,1,1,1,1,0,20240330,20240608
245071_115673,1,1,1,1,1,1,1,20240330,20240330
245071_115674,1,1,1,1,1,1,0,20240610,20241214
245071_115677,1,1,1,1,1,1,1,20240330,20240608
245071_115678,1,1,1,1,1,1,1,20240609,20241214
245071_115683,1,1,1,1,1,1,1,20240330,20240608
245071_115685,1,1,1,1,1,1,1,20240609,20241214
245071_115691,1,1,1,1,1,0,0,20240330,20240607
245071_115692,0,0,0,0,0,1,1,20240330,20240608
245071_115693,0,0,0,0,0,1,1,20240609,20241214
245071_115694,1,1,1,1,1,0,0,20240610,20241213
245071_115700,1,1,1,1,1,0,1,20240330,20240607
245071_115701,0,0,0,0,0,1,0,20240406,20240608
245071_115702,1,1,1,1,1,0,1,20240609,20241213
245071_115703,0,0,0,0,0,1,0,20240615,20241214
245071_115706,1,1,1,1,1,1,1,20240330,20240608
245071_115707,1,1,1,1,1,1,1,20240609,20241214
245071_115712,1,1,1,1,1,1,1,20240330,20240608
245071_115714,1,1,1,1,1,1,1,20240609,20241214
245071_115717,1,1,1,1,1,1,1,20240330,20240608
245071_115718,1,1,1,1,1,1,1,20240609,20241214
245071_115721,1,1,1,1,1,1,1,20240330,20240608
245071_115722,1,1,1,1,1,1,1,20240609,20241214
245071_115723,0,0,0,0,0,0,1,20240330,20241208
245071_115726,1,1,1,1,1,1,0,20240330,20240608
245071_115727,1,1,1,1,1,1,1,20240330,20240330
245071_115728,1,1,1,1,1,1,0,20240610,20241214
245071_115731,1,1,1,1,1,1,1,20240330,20240608
245071_115732,1,1,1,1,1,1,1,20240609,20241214
245071_115734,1,1,1,1,1,1,1,20240330,20240608
245071_115735,1,1,1,1,1,1,1,20240609,20241214
245071_115738,1,1,1,1,1,1,1,20240330,20240608
245071_115740,1,1,1,1,1,1,1,20240609,20241214
245071_116341,1,1,1,1,1,1,1,20240330,20241214
245071_116838,1,1,1,1,1,1,1,20240330,20240608
245071_116839,1,1,1,1,1,1,1,20240609,20241214
245071_116841,1,1,1,1,1,1,1,20240330,20240608
245071_116842,1,1,1,1,1,1,1,20240609,20241214
245071_116844,1,1,1,1,1,1,1,20240330,20240608
245071_116845,1,1,1,1,1,1,1,20240609,20241214
245071_116847,1,1,1,1,1,1,1,20240330,20240608
245071_116848,1,1,1,1,1,1,1,20240609,20241214
245071_116856,1,1,1,1,1,1,1,20240330,20240608
245071_116858,1,1,1,1,1,1,1,20240609,20241214
245071_117276,1,1,1,1,1,1,1,20240330,20240608
245071_117278,1,1,1,1,1,1,1,20240609,20241214
245071_117283,1,1,1,1,1,1,1,20240330,20241214
245071_117285,1,1,1,1,1,0,0,20240330,20241213
245071_117292,1,1,1,1,1,1,1,20240330,20241214
245071_117294,1,1,1,1,1,1,1,20240330,20240608
245071_117295,1,1,1,1,1,1,1,20240609,20241214
245071_117306,1,1,1,1,1,1,1,20240330,20240608
245071_117307,1,1,1,1,1,1,1,20240609,20241214
245071_117312,1,1,1,1,1,1,1,20240330,20240608
245071_117313,1,1,1,1,1,1,1,20240609,20241214
245071_117326,1,1,1,1,1,1,1,20240330,20240608
245071_117329,1,1,1,1,1,1,1,20240609,20241214
245071_117331,1,1,1,1,1,0,0,20240330,20240607
245071_117332,1,1,1,1,1,0,0,20240610,20241213
245071_117351,1,1,1,1,1,1,1,20240330,20240608
245071_117352,1,1,1,1,1,1,1,20240609,20241214
245071_117357,1,1,1,1,1,1,1,20240330,20240608
245071_117358,1,1,1,1,1,1,1,20240609,20241214
245071_117378,1,1,1,1,1,1,1,20240330,20240608
245071_117379,1,1,1,1,1,1,1,20240609,20241214
245071_117398,1,1,1,1,1,1,1,20240330,20240608
245071_117401,1,1,1,1,1,1,1,20240609,20241214
245072_115626,0,0,0,0,0,1,1,20240330,20240505
245072_115627,0,0,0,0,0,1,1,20240511,20240602
245072_115628,1,1,1,1,1,1,1,20240608,20240608
245072_115629,0,0,0,0,0,1,1,20240609,20241214
245072_115633,0,0,0,0,0,1,1,20240330,20240505
245072_115634,0,0,0,0,0,1,1,20240511,20240602
245072_115635,1,1,1,1,1,1,1,20240608,20240608
